color,director_name,duration,actor_1_name,movie_title,language,country,title_year,imdb_score
Color,James Cameron,178.0,CCH Pounder,Avatar ,English,USA,2009.0,7.9
Color,Gore Verbinski,169.0,Johnny Depp,Pirates of the Caribbean: At World's End ,English,USA,2007.0,7.1
Color,Sam Mendes,148.0,Christoph Waltz,Spectre ,English,UK,2015.0,6.8
Color,Christopher Nolan,164.0,Tom Hardy,The Dark Knight Rises ,English,USA,2012.0,8.5
Color,Andrew Stanton,132.0,Daryl Sabara,John Carter ,English,USA,2012.0,6.6
Color,Sam Raimi,156.0,J.K. Simmons,Spider-Man 3 ,English,USA,2007.0,6.2
Color,Nathan Greno,100.0,Brad Garrett,Tangled ,English,USA,2010.0,7.8
Color,Joss Whedon,141.0,Chris Hemsworth,Avengers: Age of Ultron ,English,USA,2015.0,7.5
Color,David Yates,153.0,Alan Rickman,Harry Potter and the Half-Blood Prince ,English,UK,2009.0,7.5
Color,Zack Snyder,183.0,Henry Cavill,Batman v Superman: Dawn of Justice ,English,USA,2016.0,6.9
Color,Bryan Singer,169.0,Kevin Spacey,Superman Returns ,English,USA,2006.0,6.1
Color,Marc Forster,106.0,Giancarlo Giannini,Quantum of Solace ,English,UK,2008.0,6.7
Color,Gore Verbinski,151.0,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,English,USA,2006.0,7.3
Color,Gore Verbinski,150.0,Johnny Depp,The Lone Ranger ,English,USA,2013.0,6.5
Color,Zack Snyder,143.0,Henry Cavill,Man of Steel ,English,USA,2013.0,7.2
Color,Andrew Adamson,150.0,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,English,USA,2008.0,6.6
Color,Joss Whedon,173.0,Chris Hemsworth,The Avengers ,English,USA,2012.0,8.1
Color,Rob Marshall,136.0,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,English,USA,2011.0,6.7
Color,Barry Sonnenfeld,106.0,Will Smith,Men in Black 3 ,English,USA,2012.0,6.8
Color,Peter Jackson,164.0,Aidan Turner,The Hobbit: The Battle of the Five Armies ,English,New Zealand,2014.0,7.5
